"","Player","PER","WS.48","WS.G","WAR.G","G","PER_z","WS.48_z","WS.G_z","WAR.G_z","z_composite"
"1","Michael Jordan",27.81,0.2504,0.1995,0.263199626865672,1037,4.51,3.96,4.99,5.87,4.75
"2","LeBron James",27.72,0.238,0.1921,0.29503937007874,1143,4.49,3.66,4.75,6.66,4.62
"3","Anthony Davis",26.86,0.2101,0.1522,0.149487804878049,410,4.21,2.97,3.44,3.08,3.83
"4","Wilt Chamberlain",26.14,0.2461,0.2346,0,1106,3.98,3.86,6.14,-0.6,5.06
"5","David Robinson",25.84,0.2504,0.1812,0.221306990881459,981,3.88,3.96,4.39,4.84,4.13
"6","Chris Paul",25.62,0.2513,0.1849,0.229742152466368,892,3.81,3.99,4.51,5.05,4.16
"7","Shaquille O'Neal",25.51,0.2028,0.1455,0.15884858044164,1077,3.78,2.79,3.22,3.31,3.5
"8","Kevin Durant",25.27,0.2187,0.169,0.18,744,3.7,3.19,3.99,3.83,3.85
"9","Charles Barkley",24.45,0.2161,0.1651,0.235274930102516,1053,3.43,3.12,3.86,5.19,3.64
"10","Karl-Anthony Towns",24.43,0.1959,0.1423,0.153658536585366,246,3.43,2.63,3.11,3.18,3.27
"11","Bob Pettit",24.14,0.2053,0.1706,0,435,3.34,2.86,4.04,-0.6,3.69
"12","Magic Johnson",24.09,0.2248,0.1719,0.230662251655629,837,3.32,3.34,4.08,5.07,3.7
"13","Kareem Abdul-Jabbar",24.07,0.2284,0.1752,0.148673076923077,1560,3.31,3.42,4.19,3.06,3.75
"14","Tim Duncan",24.02,0.2091,0.1482,0.173405172413793,1392,3.3,2.95,3.31,3.66,3.3
"15","Nikola Jokic",23.99,0.2093,0.1189,0.164605263157895,228,3.29,2.95,2.34,3.45,2.82
"16","Stephen Curry",23.91,0.2082,0.1494,0.199584,599,3.26,2.93,3.34,4.31,3.3
"17","Russell Westbrook",23.88,0.1679,0.1202,0.2025,702,3.25,1.94,2.39,4.38,2.82
"18","Hassan Whiteside",23.8,0.2025,0.1129,0.0428413284132841,150,3.23,2.79,2.15,0.45,2.69
"19","Karl Malone",23.76,0.2053,0.1589,0.187682926829268,1434,3.21,2.86,3.66,4.02,3.44
"20","Larry Bird",23.46,0.2033,0.1627,0.239598662207358,891,3.12,2.81,3.78,5.29,3.45
"21","Joel Embiid",23.3,0.1441,0.0862,0.0919148936170213,63,3.07,1.35,1.27,1.66,2.17
"22","Hakeem Olajuwon",23.23,0.1765,0.1313,0.168368336025848,1133,3.04,2.15,2.75,3.54,2.9
"23","James Harden",23.04,0.2202,0.1552,0.196506550218341,687,2.98,3.22,3.53,4.23,3.25
"24","Yao Ming",22.96,0.2003,0.1358,0.095,481,2.96,2.73,2.9,1.73,2.93
"25","Dwyane Wade",22.95,0.1619,0.1139,0.149027645376549,982,2.95,1.79,2.18,3.06,2.57
"26","Oscar Robertson",22.91,0.2068,0.1818,0.003375,1040,2.94,2.89,4.41,-0.52,3.67
"27","Jerry West",22.81,0.2134,0.1745,0.00492489270386266,901,2.91,3.06,4.17,-0.48,3.54
"28","DeMarcus Cousins",22.66,0.1194,0.0811,0.118764415156507,590,2.86,0.75,1.1,2.32,1.98
"29","Kobe Bryant",22.39,0.1703,0.1282,0.145029717682021,1234,2.77,2,2.65,2.97,2.71
"30","Elgin Baylor",22.36,0.146,0.1215,0,765,2.76,1.4,2.43,-0.6,2.59
"31","Dirk Nowitzki",22.23,0.1956,0.1401,0.122794017675051,1370,2.72,2.62,3.04,2.42,2.88
"32","Blake Griffin",22.14,0.1688,0.1228,0.139829642248722,494,2.69,1.96,2.47,2.84,2.58
"33","Julius Erving",21.91,0.1776,0.1269,0.166650717703349,836,2.62,2.18,2.61,3.5,2.62
"34","Kevin Garnett",21.79,0.1807,0.1282,0.169085487077535,1323,2.58,2.25,2.65,3.56,2.62
"35","Kyrie Irving",21.78,0.1582,0.1118,0.124285714285714,441,2.58,1.7,2.11,2.46,2.34
"36","Andre Drummond",21.77,0.1587,0.1004,0.0746436285097192,403,2.57,1.71,1.74,1.23,2.15
"37","Kawhi Leonard",21.75,0.2182,0.1381,0.171154791154791,398,2.57,3.17,2.97,3.61,2.77
"38","Moses Malone",21.67,0.1774,0.1246,0.0885967399007796,1326,2.54,2.17,2.53,1.58,2.54
"39","Kevin Love",21.65,0.181,0.1213,0.105874015748031,617,2.53,2.26,2.42,2,2.47
"40","George Gervin",21.5,0.1595,0.1115,0.0795322376738306,791,2.49,1.73,2.1,1.35,2.29
"41","Dwight Howard",21.48,0.1725,0.1242,0.104608695652174,994,2.48,2.05,2.52,1.97,2.5
"42","John Stockton",21.45,0.2086,0.138,0.118304521276596,1372,2.47,2.94,2.97,2.31,2.72
"43","Amar'e Stoudemire",21.41,0.1677,0.1062,0.0504198895027624,638,2.46,1.93,1.93,0.64,2.19
"44","Pau Gasol",21.34,0.1689,0.1199,0.127511885895404,1196,2.43,1.96,2.38,2.53,2.41
"45","Dominique Wilkins",21.32,0.1485,0.1098,0.102778745644599,1096,2.43,1.46,2.04,1.93,2.24
"46","Bob Lanier",21.25,0.1747,0.1219,0.117563600782779,920,2.41,2.1,2.44,2.29,2.42
"47","Arvydas Sabonis",21.09,0.1988,0.1002,0.095936170212766,281,2.35,2.7,1.73,1.76,2.04
"48","Damian Lillard",21.07,0.1637,0.1241,0.141620469083156,469,2.35,1.83,2.51,2.88,2.43
"49","Tracy McGrady",20.93,0.1494,0.1007,0.140857438016529,708,2.3,1.48,1.75,2.86,2.02
"50","Adrian Dantley",20.92,0.1871,0.1391,0.121951219512195,934,2.3,2.41,3.01,2.4,2.65
"51","Clyde Drexler",20.88,0.1756,0.1268,0.189139414802065,1004,2.29,2.13,2.6,4.05,2.45
"52","Clint Capela",20.87,0.1912,0.0899,0.0532894736842105,139,2.28,2.51,1.39,0.71,1.84
"53","Dan Issel",20.86,0.177,0.1148,0.0823537604456825,718,2.28,2.16,2.21,1.42,2.25
"54","John Drew",20.67,0.1515,0.0932,0.0650338294993234,676,2.22,1.54,1.5,1,1.86
"55","LaMarcus Aldridge",20.65,0.1556,0.1122,0.0798504027617952,806,2.21,1.64,2.12,1.36,2.17
"56","Alonzo Mourning",20.54,0.1636,0.1039,0.0737485714285714,686,2.18,1.83,1.85,1.21,2.02
"57","Brook Lopez",20.49,0.1294,0.0841,0.0602830188679245,614,2.16,0.99,1.2,0.88,1.68
"58","Patrick Ewing",20.46,0.1494,0.1062,0.0930252100840336,1054,2.15,1.48,1.93,1.69,2.04
"59","Chris Bosh",20.46,0.1593,0.1187,0.0831466965285554,893,2.15,1.73,2.34,1.44,2.25
"60","Carmelo Anthony",20.32,0.1286,0.0961,0.0718567639257295,1064,2.11,0.97,1.59,1.17,1.85
"61","Greg Monroe",20.32,0.1387,0.0814,0.07846875,538,2.11,1.22,1.11,1.33,1.61
"62","Chris Webber",20.3,0.1253,0.0954,0.138800834202294,830,2.1,0.89,1.57,2.81,1.84
"63","Allen Iverson",20.27,0.1205,0.1022,0.116729323308271,990,2.09,0.77,1.79,2.27,1.94
"64","Al Jefferson",20.11,0.1296,0.0776,0.0442622950819672,636,2.04,1,0.99,0.49,1.52
"65","Enes Kanter",20.04,0.1446,0.0685,0.00365482233502538,380,2.02,1.37,0.69,-0.51,1.36
"66","Ben Simmons",20,0.1616,0.1136,0.153333333333333,81,2,1.78,2.17,3.17,2.08
"67","Marques Johnson",19.95,0.1615,0.1153,0.131287988422576,671,1.99,1.78,2.22,2.63,2.1
"68","Rick Barry",19.89,0.1555,0.1176,0.0880730478589421,794,1.97,1.63,2.3,1.56,2.13
"69","Rudy Gobert",19.89,0.2034,0.1185,0.125446153846154,280,1.97,2.81,2.33,2.48,2.15
"70","Bob McAdoo",19.88,0.1491,0.1046,0.0864,675,1.97,1.48,1.87,1.52,1.92
"71","Kevin Johnson",19.86,0.1726,0.119,0.095079754601227,632,1.96,2.05,2.35,1.74,2.16
"72","Isaiah Thomas",19.82,0.1489,0.0904,0.0712762237762238,441,1.95,1.47,1.41,1.15,1.68
"73","Manu Ginobili",19.74,0.1903,0.1008,0.120823084200568,658,1.92,2.49,1.75,2.37,1.84
"74","Brandon Roy",19.67,0.1557,0.115,0.126717791411043,274,1.9,1.64,2.21,2.52,2.05
"75","Elton Brand",19.62,0.1508,0.1037,0.115349716446125,895,1.88,1.52,1.84,2.24,1.86
"76","Kenneth Faried",19.62,0.1562,0.0812,0.0557142857142857,302,1.88,1.65,1.1,0.77,1.49
"77","Kevin McHale",19.61,0.1803,0.1165,0.0945417095777549,915,1.88,2.24,2.26,1.72,2.07
"78","Jonas Valanciunas",19.58,0.1764,0.0936,0.0312954545454545,378,1.87,2.15,1.51,0.17,1.69
"79","John Wall",19.53,0.1064,0.0797,0.107301293900185,500,1.85,0.43,1.06,2.04,1.46
"80","Giannis Antetokounmpo",19.52,0.1448,0.0987,0.118167938931298,393,1.85,1.37,1.68,2.3,1.77
"81","Clyde Lovellette",19.51,0.184,0.0854,0,135,1.85,2.33,1.24,-0.6,1.54
"82","Bill Walton",19.49,0.1424,0.084,0.123461538461538,321,1.84,1.31,1.2,2.44,1.52
"83","JaVale McGee",19.48,0.1312,0.0474,0.0172429906542056,140,1.84,1.04,-0.01,-0.18,0.92
"84","David Thompson",19.43,0.1493,0.0996,0.0673673870333988,390,1.82,1.48,1.71,1.05,1.77
"85","Steve Nash",19.4,0.1639,0.1068,0.0696631059983566,1097,1.81,1.84,1.95,1.11,1.88
"86","Alex English",19.26,0.1256,0.0833,0.0794492525570417,1187,1.77,0.9,1.17,1.35,1.47
"87","Carlos Boozer",19.24,0.1431,0.0931,0.0693031358885017,791,1.76,1.33,1.5,1.1,1.63
"88","Walt Bellamy",19.23,0.1568,0.1202,0.00293023255813953,1167,1.76,1.67,2.39,-0.53,2.08
"89","Zach Randolph",19.21,0.1114,0.0724,0.0319554030874786,970,1.75,0.55,0.82,0.18,1.28
"90","Clark Kellogg",19.21,0.1178,0.0804,0.0924230769230769,237,1.75,0.71,1.08,1.67,1.42
"91","Jimmy Butler",19.2,0.1857,0.1271,0.13617903930131,416,1.75,2.37,2.61,2.75,2.18
"92","Larry Nance",19.2,0.1674,0.1082,0.123397590361446,807,1.75,1.93,1.99,2.43,1.87
"93","Billy Cunningham",19.19,0.1352,0.0965,0.0194036697247706,634,1.74,1.13,1.61,-0.13,1.68
"94","Paul Pierce",19.1,0.1571,0.1118,0.123440059568131,1250,1.71,1.67,2.11,2.43,1.91
"95","Mark Price",19.07,0.1583,0.0985,0.0841412742382272,521,1.71,1.7,1.67,1.47,1.69
