"","Player","PER","WS.48","WAR.G","G"
"1","Michael Jordan",27.81,0.25,0.263199626865672,1037
"2","LeBron James",27.72,0.238,0.29503937007874,1143
"3","Anthony Davis",26.86,0.21,0.149487804878049,410
"4","Wilt Chamberlain",26.14,0.246,0,1106
"5","David Robinson",25.84,0.25,0.221306990881459,981
"6","Chris Paul",25.62,0.251,0.229742152466368,892
"7","Shaquille O'Neal",25.51,0.203,0.15884858044164,1077
"8","Kevin Durant",25.27,0.219,0.18,744
"9","Charles Barkley",24.45,0.216,0.235274930102516,1053
"10","Karl-Anthony Towns",24.43,0.196,0.153658536585366,246
"11","Bob Pettit",24.14,0.205,0,435
"12","Magic Johnson",24.09,0.225,0.230662251655629,837
"13","Kareem Abdul-Jabbar",24.07,0.228,0.148673076923077,1560
"14","Tim Duncan",24.02,0.209,0.173405172413793,1392
"15","Nikola Jokic",23.99,0.209,0.164605263157895,228
"16","Stephen Curry",23.91,0.208,0.199584,599
"17","Russell Westbrook",23.88,0.168,0.2025,702
"18","Hassan Whiteside",23.8,0.202,0.0428413284132841,150
"19","Karl Malone",23.76,0.205,0.187682926829268,1434
"20","Larry Bird",23.46,0.203,0.239598662207358,891
"21","Joel Embiid",23.3,0.144,0.0919148936170213,63
"22","Hakeem Olajuwon",23.23,0.176,0.168368336025848,1133
"23","James Harden",23.04,0.22,0.196506550218341,687
"24","Yao Ming",22.96,0.2,0.095,481
"25","Dwyane Wade",22.95,0.162,0.149027645376549,982
"26","Oscar Robertson",22.91,0.207,0.003375,1040
"27","Jerry West",22.81,0.213,0.00492489270386266,901
"28","DeMarcus Cousins",22.66,0.119,0.118764415156507,590
"29","Kobe Bryant",22.39,0.17,0.145029717682021,1234
"30","Elgin Baylor",22.36,0.146,0,765
"31","Dirk Nowitzki",22.23,0.196,0.122794017675051,1370
"32","Blake Griffin",22.14,0.169,0.139829642248722,494
"33","Julius Erving",21.91,0.178,0.166650717703349,836
"34","Kevin Garnett",21.79,0.181,0.169085487077535,1323
"35","Kyrie Irving",21.78,0.158,0.124285714285714,441
"36","Andre Drummond",21.77,0.159,0.0746436285097192,403
"37","Kawhi Leonard",21.75,0.218,0.171154791154791,398
"38","Moses Malone",21.67,0.177,0.0885967399007796,1326
"39","Kevin Love",21.65,0.181,0.105874015748031,617
"40","George Gervin",21.5,0.16,0.0795322376738306,791
