"","gameorder","game_id","lg_id","X_iscopy","year_id","date_game","seasongame","is_playoffs","team_id","fran_id","pts","elo_i","elo_n","win_equiv","opp_id","opp_fran","opp_pts","opp_elo_i","opp_elo_n","game_location","game_result","forecast","notes","elo_diff","win_prob","is_finals","mj.lj"
"1",26766,"198504190MIL","NBA",1,1985,"4/19/1985",83,1,"CHI","Bulls",100,1446.5389,1444.7523,35.043602,"MIL","Bucks",109,1696.8232,1698.6099,"A","L",0.1174919,"NULL",-250.2843,0.191428886069328,0,"mj"
"2",27771,"198604170BOS","NBA",1,1986,"4/17/1986",83,1,"CHI","Bulls",104,1421.3157,1419.6832,32.419949,"BOS","Celtics",123,1770.1971,1771.8296,"A","L",0.070177257,"NULL",-348.8814,0.118331849516728,0,"mj"
"3",28781,"198704230BOS","NBA",1,1987,"4/23/1987",83,1,"CHI","Bulls",104,1539.3923,1537.2201,44.551315,"BOS","Celtics",108,1675.696,1677.8683,"A","L",0.20419586,"NULL",-136.3037,0.313323482987239,0,"mj"
"4",29795,"198804280CHI","NBA",0,1988,"4/28/1988",83,1,"CHI","Bulls",104,1613.3737,1619.3818,52.791283,"CLE","Cavaliers",93,1569.6328,1563.6246,"H","W",0.69581312,"NULL",43.7409,0.562617735714055,0,"mj"
"5",29832,"198805100DET","NBA",1,1988,"5/10/1988",88,1,"CHI","Bulls",82,1613.2268,1606.7523,51.565105,"DET","Pistons",93,1640.9597,1647.4342,"A","L",0.32403499,"NULL",-27.7329000000002,0.46017369724994,0,"mj"
"6",30904,"198904280CLE","NBA",1,1989,"4/28/1989",83,1,"CHI","Bulls",95,1534.9011,1550.3959,47.519711,"CLE","Cavaliers",88,1642.6825,1627.1877,"A","W",0.23217225,"NULL",-107.7814,0.34968147506323,0,"mj"
"7",30931,"198905090NYK","NBA",1,1989,"5/9/1989",88,1,"CHI","Bulls",120,1554.8988,1570.8898,49.595856,"NYK","Knicks",109,1569.6862,1553.6952,"A","W",0.34056687,"NULL",-14.7874000000002,0.478732061389657,0,"mj"
"8",30949,"198905210DET","NBA",1,1989,"5/21/1989",94,1,"CHI","Bulls",94,1576.4369,1593.3923,51.823177,"DET","Pistons",88,1766.7395,1749.7841,"A","W",0.15827543,"NULL",-190.3026,0.250589674748846,0,"mj"
"9",32074,"199004270CHI","NBA",0,1990,"4/27/1990",83,1,"CHI","Bulls",111,1606.3652,1611.2213,54.475208,"MIL","Bucks",97,1488.2386,1483.3826,"H","W",0.77827424,"NULL",118.1266,0.663736771412348,0,"mj"
"10",32102,"199005070CHI","NBA",0,1990,"5/7/1990",87,1,"CHI","Bulls",96,1622.3678,1628.715,56.087212,"PHI","Sixers",85,1590.3466,1583.9994,"H","W",0.68134838,"NULL",32.0211999999999,0.54595217450894,0,"mj"
