"","Player","Total_Games","Season","Playoffs","Combined"
"1","Michael Jordan",1216,3.52,3.73,3.62
"2","LeBron James",1378,3.49,3.67,3.58
"3","Chris Paul",983,2.86,2.83,2.84
"4","Shaquille O'Neal",1291,2.81,2.85,2.83
"5","Kevin Durant",867,2.75,2.49,2.62
"6","Wilt Chamberlain",1266,3.03,2.13,2.58
"7","David Robinson",1100,2.92,2.08,2.5
"8","Hakeem Olajuwon",1273,2.12,2.86,2.49
"9","Charles Barkley",1172,2.5,2.45,2.48
"10","Tim Duncan",1643,2.37,2.45,2.41
"11","Russell Westbrook",793,2.32,2.37,2.34
"12","Stephen Curry",685,2.33,2.28,2.3
"13","Magic Johnson",1027,2.4,2.21,2.3
"14","Kareem Abdul-Jabbar",1797,2.39,2,2.2
"15","Dirk Nowitzki",1515,1.83,2.4,2.12
"16","Jerry West",1052,2.01,2.18,2.09
"17","Dwyane Wade",1159,2.03,1.95,1.99
"18","Larry Bird",1055,2.2,1.75,1.98
"19","Karl Malone",1627,2.29,1.66,1.98
"20","James Harden",792,2.07,1.85,1.96
"21","Kobe Bryant",1454,1.87,1.9,1.88
"22","Elgin Baylor",885,1.86,1.81,1.84
"23","Oscar Robertson",1126,2.04,1.6,1.82
"24","Dwight Howard",1089,1.6,1.94,1.77
"25","Moses Malone",1413,1.65,1.71,1.68
"26","Kevin Garnett",1466,1.69,1.59,1.64
"27","Julius Erving",977,1.73,1.35,1.54
"28","Bob Lanier",987,1.53,1.49,1.51
"29","George Gervin",846,1.6,1.4,1.5
"30","Amar'e Stoudemire",698,1.57,1.37,1.47
"31","Allen Iverson",1061,1.23,1.7,1.46
"32","Pau Gasol",1327,1.55,1.34,1.45
"33","John Stockton",1550,1.59,1.27,1.43
"34","Patrick Ewing",1189,1.28,1.43,1.36
"35","Clyde Drexler",1144,1.42,1.26,1.34
"36","Dan Issel",771,1.41,1.23,1.32
"37","LaMarcus Aldridge",871,1.34,1.22,1.28
"38","Dominique Wilkins",1151,1.54,1.01,1.27
"39","Adrian Dantley",1004,1.43,0.98,1.21
"40","Rick Barry",860,1.12,1.23,1.18
"41","Carmelo Anthony",1136,1.24,1.09,1.17
"42","Alonzo Mourning",771,1.31,1.02,1.17
"43","Kevin Love",676,1.65,0.69,1.17
"44","Marques Johnson",725,1.13,1.19,1.16
"45","Alex English",1249,0.92,1.37,1.15
"46","Chris Webber",910,1.23,1.03,1.13
"47","Chris Bosh",982,1.29,0.94,1.12
"48","Kevin McHale",1084,1.03,1.18,1.1
"49","Walt Frazier",903,0.82,1.34,1.08
"50","Manu Ginobili",876,1.07,1.08,1.08
"51","Steve Nash",1207,0.97,1.1,1.04
"52","Kevin Johnson",737,1.11,0.93,1.02
"53","Baron Davis",848,0.41,1.53,0.97
"54","Bob McAdoo",764,1.11,0.8,0.96
"55","Larry Nance",891,0.91,0.96,0.94
"56","Isiah Thomas",1090,0.55,1.31,0.93
"57","Gus Williams",889,0.57,1.27,0.92
"58","Bill Russell",911,0.64,1.21,0.92
"59","Cliff Hagan",599,0.75,1.08,0.92
"60","Reggie Miller",1532,0.62,1.19,0.9
"61","Marc Gasol",775,0.73,1.08,0.9
"62","Brad Daugherty",548,0.79,1.02,0.9
"63","Shawn Kemp",863,0.6,1.16,0.88
"64","Paul Millsap",842,0.8,0.87,0.84
"65","Al Horford",789,0.79,0.85,0.82
"66","Walter Davis",895,0.7,0.91,0.8
"67","Chauncey Billups",1194,0.59,0.99,0.79
"68","Scottie Pippen",1356,0.63,0.88,0.76
"69","Carlos Boozer",874,0.91,0.58,0.74
"70","Elvin Hayes",1316,0.33,1.13,0.73
"71","Mark Price",568,0.86,0.58,0.72
"72","Walt Bellamy",1213,0.92,0.52,0.72
"73","Sam Jones",879,0.75,0.64,0.7
"74","Anfernee Hardaway",688,0.04,1.32,0.68
"75","James Worthy",1069,0.39,0.92,0.66
"76","Mark Aguirre",928,0.63,0.7,0.66
"77","Zach Randolph",1039,0.9,0.42,0.66
"78","Paul Pierce",1415,0.88,0.4,0.64
"79","Rik Smits",911,0.45,0.78,0.62
"80","Fred Brown",855,0.35,0.84,0.6
"81","Vince Carter",1319,0.59,0.61,0.6
"82","David West",828,0.63,0.57,0.6
"83","Robert Parish",1514,0.77,0.44,0.6
"84","Alvan Adams",988,0.55,0.58,0.56
"85","Mike Conley",709,0.31,0.79,0.55
"86","Willis Reed",698,0.67,0.42,0.55
"87","DeAndre Jordan",684,0.52,0.49,0.5
"88","Tony Parker",1364,0.56,0.44,0.5
"89","John Havlicek",1442,0.35,0.62,0.48
"90","Calvin Murphy",920,0.47,0.5,0.48
"91","Deron Williams",985,0.51,0.44,0.48
"92","Ray Allen",1518,0.68,0.27,0.48
"93","Bailey Howell",1031,0.81,0.1,0.46
"94","Vlade Divac",1204,0.41,0.49,0.45
"95","Jason Kidd",1552,0.44,0.46,0.45
"96","Antawn Jamison",1097,0.49,0.38,0.44
"97","Rod Strickland",877,0.32,0.51,0.42
"98","Chet Walker",1133,0.41,0.44,0.42
"99","Shawn Marion",1247,0.63,0.2,0.42
"100","Terry Cummings",940,0.33,0.46,0.4
"101","Jeff Hornacek",1222,0.36,0.42,0.39
"102","Rajon Rondo",812,-0.09,0.85,0.38
"103","Joakim Noah",600,0.33,0.42,0.38
"104","Marcus Camby",913,0.4,0.36,0.38
"105","Sam Cassell",939,0.77,-0.02,0.38
