"","Player","Year","Pos","Age","Tm","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"1","Paul Arizin",1960,"SF",31,"PHW",9,371,20.8,0.516,0,0.405,0,0,0,12.3,0,0,0,0,1.2,0.5,1.7,0.223,0,0,0,0
"2","Dick Barnett",1960,"SG",23,"SYR",3,64,10.1,0.365,0,0.184,0,0,0,9,0,0,0,0,-0.1,0,-0.1,-0.09,0,0,0,0
"3","Elgin Baylor",1960,"SF",25,"MNL",9,408,26.2,0.547,0,0.402,0,0,0,14.2,0,0,0,0,2,0.2,2.2,0.265,0,0,0,0
"4","Ernie Beck",1960,"SG",28,"PHW",4,22,14.4,0.424,0,0.111,0,0,0,17.8,0,0,0,0,0,0,0,0.092,0,0,0,0
"5","Al Bianchi",1960,"PG",27,"SYR",2,18,-7.6,0,0,0,0,0,0,18.9,0,0,0,0,-0.2,0,-0.2,-0.463,0,0,0,0
"6","Barney Cable",1960,"SF",24,"SYR",3,63,8.5,0.4,0,0.571,0,0,0,2,0,0,0,0,0,0,0,-0.014,0,0,0,0
"7","Wilt Chamberlain",1960,"C",23,"PHW",9,415,27,0.498,0,0.437,0,0,0,7.1,0,0,0,0,1.2,0.9,2.1,0.241,0,0,0,0
"8","Gene Conley",1960,"PF",29,"BOS",13,269,10.4,0.43,0,0.25,0,0,0,1.4,0,0,0,0,0,0.6,0.6,0.114,0,0,0,0
"9","Ed Conlin",1960,"SG",26,"DET",2,20,6.7,0.368,0,0.2,0,0,0,0,0,0,0,0,0,0,0,-0.058,0,0,0,0
"10","Larry Costello",1960,"PG",28,"SYR",3,122,13.5,0.478,0,0.255,0,0,0,22.8,0,0,0,0,0.2,0,0.2,0.077,0,0,0,0
"11","Bob Cousy",1960,"PG",31,"BOS",13,468,12.7,0.35,0,0.195,0,0,0,32.7,0,0,0,0,-0.9,1.2,0.2,0.023,0,0,0,0
"12","Archie Dees",1960,"PF",23,"DET",2,18,15.8,0.413,0,0.25,0,0,0,18.8,0,0,0,0,0,0,0,0.031,0,0,0,0
"13","Connie Dierking",1960,"C",23,"SYR",3,32,6.6,0.294,0,0.05,0,0,0,4.5,0,0,0,0,-0.1,0,-0.1,-0.211,0,0,0,0
"14","Walter Dukes",1960,"C",29,"DET",2,78,24.1,0.59,0,0.71,0,0,0,4.2,0,0,0,0,0.4,0.1,0.5,0.284,0,0,0,0
"15","Boo Ellis",1960,"PF",23,"MNL",3,36,6.7,0.296,0,0.8,0,0,0,7.4,0,0,0,0,-0.1,0,-0.1,-0.101,0,0,0,0
"16","Ray Felix",1960,"C",29,"MNL",8,147,13,0.5,0,0.61,0,0,0,8.8,0,0,0,0,0.2,0.1,0.3,0.111,0,0,0,0
"17","Al Ferrari",1960,"SG",26,"STL",9,142,7.5,0.436,0,0.474,0,0,0,14.7,0,0,0,0,0.1,0,0.1,0.025,0,0,0,0
